1	20.211884ms
2	20.191418ms
3	20.240466ms
4	20.243557ms
5	20.282864ms
6	20.292661ms
7	20.299245ms
8	20.300333ms
9	20.299249ms
10	20.367249ms
11	20.397975ms
12	20.395047ms
13	20.42687ms
14	20.407743ms
15	20.592366ms
16	20.40685ms
17	20.393513ms
18	20.477123ms
19	20.407013ms
20	20.675834ms
21	20.556434ms
22	20.617012ms
23	20.572853ms
24	20.652208ms
25	20.784228ms
26	21.280572ms
27	21.82119ms
28	20.995405ms
29	20.896988ms
30	21.348537ms
31	20.993242ms
32	20.868889ms
33	20.813688ms
34	20.809383ms
35	20.792342ms
36	21.106336ms
37	21.094703ms
38	21.033335ms
39	20.936601ms
40	20.86437ms
41	21.013562ms
42	21.066554ms
43	20.910268ms
44	20.992316ms
45	21.110308ms
46	21.427763ms
47	21.472783ms
48	21.488241ms
49	21.367453ms
50	21.319559ms
51	21.423065ms
52	21.457013ms
53	21.393053ms
54	21.564927ms
55	21.594172ms
56	21.390825ms
57	24.926768ms
58	27.226182ms
59	26.563549ms
60	24.057981ms
61	23.993807ms
62	24.734557ms
63	24.90244ms
64	24.41441ms
65	24.435146ms
66	24.772307ms
67	23.639329ms
68	23.743713ms
69	22.675674ms
70	23.338546ms
71	23.143875ms
72	22.952301ms
73	25.191877ms
74	29.337149ms
75	29.370232ms
76	26.953021ms
77	24.526647ms
78	24.701115ms
79	24.53424ms
80	24.519845ms
81	24.649852ms
82	24.739576ms
83	24.392135ms
84	22.38225ms
85	22.38166ms
86	22.29983ms
87	22.401145ms
88	22.4223ms
89	22.756637ms
90	22.407994ms
91	22.497889ms
92	22.903524ms
93	24.706363ms
94	23.8361ms
95	23.592847ms
96	22.756163ms
97	22.582815ms
98	22.996989ms
99	22.918355ms
100	22.645658ms
101	23.106007ms
102	23.657056ms
103	23.101863ms
104	22.866533ms
105	22.934447ms
106	23.774078ms
107	23.24007ms
108	22.951385ms
109	23.546809ms
110	23.056074ms
111	23.343748ms
112	23.105113ms
113	23.186697ms
114	23.122502ms
115	23.080613ms
116	23.3185ms
117	23.115507ms
118	23.264846ms
119	23.609577ms
120	23.207612ms
121	23.64028ms
122	23.390753ms
123	23.364604ms
124	24.949598ms
125	24.655693ms
126	29.382389ms
127	37.462799ms
128	28.236523ms
129	23.944298ms
130	23.724069ms
131	23.531321ms
132	23.927009ms
133	23.495601ms
134	23.968185ms
135	24.904797ms
136	25.443767ms
137	23.832933ms
138	23.770839ms
139	23.73029ms
140	24.121737ms
141	23.948092ms
142	23.777508ms
143	23.899588ms
144	23.913897ms
145	24.415285ms
146	24.072644ms
147	24.413453ms
148	24.525546ms
149	24.252217ms
150	24.052224ms
151	23.96939ms
152	24.244066ms
153	43.386778ms
154	35.79297ms
155	27.420689ms
156	27.100224ms
157	26.151822ms
158	26.868366ms
159	25.577022ms
160	23.94856ms
161	24.666023ms
162	25.677482ms
163	24.777208ms
164	24.839557ms
165	24.794818ms
166	26.239983ms
167	25.528192ms
168	24.368821ms
169	24.637687ms
170	24.480504ms
171	24.746771ms
172	24.439067ms
173	26.037013ms
174	24.924814ms
175	24.775464ms
176	24.933916ms
177	24.669244ms
178	24.689228ms
179	25.06168ms
180	24.87715ms
181	26.444295ms
182	26.348754ms
183	25.513411ms
184	24.91821ms
185	25.233751ms
186	24.903275ms
187	25.193401ms
188	24.914575ms
189	25.415203ms
190	25.103306ms
191	25.060047ms
192	25.134188ms
193	25.282697ms
194	25.376934ms
195	25.2885ms
196	25.200996ms
197	25.589332ms
198	25.192365ms
199	25.054476ms
200	25.108585ms
201	25.076184ms
202	25.357877ms
203	25.127005ms
204	25.097406ms
205	25.441262ms
206	25.324517ms
207	25.702922ms
208	25.712078ms
209	25.740318ms
210	25.949536ms
211	27.478508ms
212	33.99859ms
213	38.568514ms
214	26.803303ms
215	29.743581ms
216	35.175782ms
217	35.763143ms
218	35.6326ms
219	31.881008ms
220	28.646811ms
221	26.052835ms
222	26.859195ms
223	34.581882ms
224	42.534816ms
225	29.296582ms
226	29.529793ms
227	36.716862ms
228	31.386583ms
229	28.020577ms
230	32.70608ms
231	30.671833ms
232	31.878599ms
233	27.867746ms
234	27.815963ms
235	28.113845ms
236	26.428955ms
237	26.420333ms
238	28.205528ms
239	28.407901ms
240	26.273475ms
241	30.189934ms
242	31.843871ms
243	29.329053ms
244	26.556403ms
245	26.583599ms
246	26.373276ms
247	26.529325ms
248	26.506769ms
249	26.491656ms
250	29.232804ms
251	33.193745ms
252	33.075233ms
253	28.698983ms
254	26.438503ms
255	29.895862ms
256	31.397373ms
257	28.790159ms
258	27.00394ms
259	27.039271ms
260	26.672064ms
261	26.351556ms
262	27.118971ms
263	26.841539ms
264	26.987732ms
265	27.19743ms
266	26.849247ms
267	27.645562ms
268	28.84997ms
269	27.144194ms
270	27.546969ms
271	29.133344ms
272	28.386558ms
273	28.097375ms
274	28.671451ms
275	27.118585ms
276	27.892872ms
277	27.408929ms
278	27.571177ms
279	27.181255ms
