1	20.236723ms
2	20.268747ms
3	20.217886ms
4	20.320112ms
5	20.332542ms
6	20.482975ms
7	20.724239ms
8	21.064289ms
9	21.073393ms
10	21.193318ms
11	20.733831ms
12	20.333698ms
13	20.442872ms
14	20.401249ms
15	20.294973ms
16	20.627999ms
17	21.417401ms
18	21.542751ms
19	21.179155ms
20	20.619741ms
21	20.649133ms
22	20.597626ms
23	21.153013ms
24	21.701992ms
25	21.816368ms
26	22.561813ms
27	21.694644ms
28	21.602468ms
29	21.574987ms
30	21.429741ms
31	21.355466ms
32	21.288013ms
33	21.29513ms
34	21.397806ms
35	21.693837ms
36	21.427119ms
37	21.290438ms
38	21.131483ms
39	21.239333ms
40	21.0136ms
41	21.112415ms
42	23.683267ms
43	25.867469ms
44	24.196769ms
45	23.07285ms
46	22.133423ms
47	22.183263ms
48	22.218297ms
49	22.752555ms
50	23.165535ms
51	23.31935ms
52	23.859546ms
53	23.862509ms
54	26.097334ms
55	22.06514ms
56	21.587948ms
57	21.938045ms
58	21.717663ms
59	22.242216ms
60	22.274762ms
61	21.834805ms
62	21.830391ms
63	22.023149ms
64	22.079711ms
65	22.532693ms
66	24.952849ms
67	28.820426ms
68	23.638917ms
69	22.881799ms
70	22.541193ms
71	22.717004ms
72	23.10455ms
73	25.87418ms
74	29.470241ms
75	24.276629ms
76	22.476906ms
77	22.267724ms
78	22.238512ms
79	22.368895ms
80	22.312121ms
81	22.525159ms
82	22.88388ms
83	26.578383ms
84	33.556499ms
85	25.672033ms
86	25.338745ms
87	26.102297ms
88	24.484935ms
89	24.1066ms
90	24.466463ms
91	25.454638ms
92	25.727684ms
93	25.932461ms
94	29.521087ms
95	28.267187ms
96	25.448161ms
97	25.281495ms
98	25.385084ms
99	24.479977ms
100	24.494878ms
101	24.697535ms
102	27.253569ms
103	33.644429ms
104	27.512699ms
105	27.659688ms
106	28.918153ms
107	29.23466ms
108	29.20839ms
109	29.681729ms
110	27.482896ms
111	25.962934ms
112	27.415809ms
113	27.02884ms
114	24.940473ms
115	23.339026ms
116	23.576504ms
117	29.00068ms
118	36.147446ms
119	26.938277ms
120	27.019741ms
121	28.370698ms
122	28.252919ms
123	28.437369ms
124	28.621851ms
125	28.264012ms
126	29.924545ms
127	38.91858ms
128	30.385953ms
129	26.915774ms
130	25.871846ms
131	25.979687ms
132	25.938837ms
133	29.948747ms
134	32.837028ms
135	27.876048ms
136	26.481058ms
137	26.378602ms
138	26.367505ms
139	26.469016ms
140	27.000763ms
141	29.356988ms
142	29.09746ms
143	31.230576ms
144	38.245992ms
145	28.546461ms
146	25.138606ms
147	25.340983ms
148	25.039244ms
149	24.476694ms
150	24.245523ms
151	24.148262ms
152	24.481833ms
153	25.366283ms
154	24.064132ms
155	24.185791ms
156	31.351405ms
157	38.780523ms
158	28.894666ms
159	30.646532ms
160	29.378441ms
161	27.99336ms
162	28.996407ms
163	27.603696ms
164	27.980489ms
165	27.899913ms
166	27.625522ms
167	28.263442ms
168	28.164954ms
169	28.169961ms
170	28.302998ms
171	28.065194ms
172	26.676452ms
173	26.878336ms
174	28.588838ms
175	25.057177ms
176	24.457676ms
177	24.472895ms
178	32.797388ms
179	42.345641ms
180	37.660885ms
181	37.917123ms
182	30.902107ms
183	33.254624ms
184	39.430942ms
185	26.470326ms
186	26.386171ms
187	26.250998ms
188	26.607355ms
189	26.429211ms
190	27.273794ms
191	29.033256ms
192	29.715414ms
193	30.834396ms
194	31.182112ms
195	30.97131ms
196	30.904401ms
197	31.54107ms
198	31.956498ms
199	32.426163ms
200	31.645009ms
201	31.14698ms
202	31.242444ms
203	33.072486ms
204	32.613283ms
205	31.320233ms
206	30.91812ms
207	27.816861ms
208	27.476291ms
209	27.774917ms
210	27.557551ms
211	33.066824ms
212	46.047339ms
213	34.823867ms
214	31.810285ms
215	31.822585ms
216	33.721837ms
217	30.604639ms
218	28.844168ms
219	28.97431ms
220	31.172876ms
221	31.713543ms
222	27.742561ms
223	26.908249ms
224	27.624789ms
225	27.836881ms
226	35.26767ms
227	44.549761ms
228	31.345451ms
229	28.958471ms
230	30.192002ms
231	30.795996ms
232	32.45205ms
233	30.911178ms
234	29.306456ms
235	38.074311ms
236	36.159756ms
237	30.959245ms
238	31.058818ms
239	31.180704ms
240	32.060881ms
241	31.625984ms
