1	20.124829ms
2	20.180448ms
3	20.178636ms
4	20.150873ms
5	20.219723ms
6	20.233292ms
7	20.226476ms
8	20.317803ms
9	20.226425ms
10	20.281976ms
11	20.276896ms
12	23.290079ms
13	27.123005ms
14	28.362274ms
15	37.545495ms
16	40.220993ms
17	37.541754ms
18	37.540703ms
19	34.715961ms
20	37.569692ms
21	37.551518ms
22	37.565101ms
23	31.343697ms
24	37.621418ms
25	37.567313ms
26	37.616206ms
27	29.846536ms
28	37.644427ms
29	29.636686ms
30	39.43259ms
31	37.721605ms
32	29.09849ms
33	37.663867ms
34	37.713546ms
35	40.580747ms
36	29.242612ms
37	37.850952ms
38	31.78549ms
39	37.667356ms
40	37.910626ms
41	37.660629ms
42	37.622087ms
43	40.424445ms
44	37.752932ms
45	40.920467ms
46	41.845056ms
47	37.658167ms
48	37.628523ms
49	31.832957ms
50	43.13691ms
51	34.591381ms
52	37.64581ms
53	26.126769ms
54	42.454703ms
55	43.079413ms
56	40.340187ms
57	46.075971ms
58	33.014639ms
59	37.822381ms
60	41.993892ms
61	40.461032ms
62	36.06621ms
63	35.484176ms
64	43.169575ms
65	43.089785ms
66	39.752547ms
67	43.011492ms
68	47.132819ms
69	42.042823ms
70	39.901182ms
71	39.004882ms
72	38.552877ms
73	42.432431ms
74	44.376364ms
75	40.861378ms
76	46.648288ms
77	41.073637ms
78	42.866032ms
79	48.522292ms
80	36.842539ms
81	42.818002ms
82	48.864889ms
83	43.703786ms
84	43.316614ms
85	43.421235ms
86	43.12554ms
87	36.028741ms
88	40.964739ms
89	53.834702ms
90	62.511526ms
91	43.632864ms
92	50.303898ms
93	50.798622ms
94	41.083856ms
95	45.06507ms
96	47.137918ms
97	45.245807ms
98	44.965366ms
99	48.41196ms
100	47.163544ms
101	43.910063ms
102	44.893375ms
103	41.805373ms
104	50.18109ms
105	43.023815ms
106	45.506941ms
107	47.243765ms
108	49.137584ms
109	43.872875ms
110	46.938241ms
111	51.517923ms
112	45.576478ms
113	43.537267ms
114	46.720922ms
115	52.924349ms
116	62.822881ms
117	47.95119ms
118	46.041357ms
119	46.76866ms
120	47.367487ms
121	45.421157ms
122	70.152227ms
123	48.359542ms
124	60.399783ms
125	56.691325ms
126	41.440939ms
127	48.740373ms
128	48.968616ms
129	46.607638ms
130	50.728203ms
131	49.86095ms
132	45.456301ms
133	50.151294ms
134	52.157435ms
135	45.247841ms
136	51.356161ms
137	46.05577ms
138	42.770665ms
139	45.142556ms
140	49.621889ms
141	53.517936ms
142	56.796849ms
143	55.722651ms
144	45.737149ms
145	52.443977ms
146	44.682105ms
147	51.999306ms
148	60.70398ms
149	69.735192ms
150	46.525215ms
151	50.161226ms
152	56.491351ms
153	55.662965ms
154	48.158042ms
155	50.562308ms
156	48.788742ms
157	43.504ms
158	47.211436ms
159	44.940784ms
160	53.313388ms
161	47.197409ms
162	46.329612ms
163	45.661031ms
164	64.642471ms
165	48.963956ms
166	52.167274ms
167	53.308548ms
168	51.94666ms
169	59.865539ms
170	44.568115ms
171	84.910486ms
172	107.733815ms
173	55.605016ms
174	57.306663ms
175	56.197568ms
176	45.204563ms
177	76.361395ms
178	54.945195ms
179	46.099143ms
180	65.123489ms
181	58.111878ms
182	51.268092ms
183	65.116579ms
184	51.461238ms
185	45.773734ms
186	52.038372ms
187	56.015899ms
188	47.584498ms
189	62.811748ms
190	62.863713ms
191	68.084428ms
192	50.282406ms
193	52.777846ms
194	54.533863ms
195	74.646171ms
196	59.030428ms
197	55.91212ms
198	79.93247ms
199	54.695023ms
200	60.142148ms
201	50.002102ms
202	56.98378ms
203	60.823141ms
204	58.757271ms
205	55.602981ms
206	55.934037ms
207	55.510145ms
208	56.994233ms
209	55.164383ms
210	52.729663ms
211	51.734758ms
212	62.922184ms
213	87.102827ms
214	57.28335ms
215	60.921885ms
216	51.633274ms
217	52.666287ms
218	70.575074ms
219	55.872321ms
220	59.233885ms
221	63.858888ms
222	57.123219ms
223	65.161166ms
224	60.790585ms
225	54.393915ms
226	55.95986ms
227	55.117758ms
228	67.534345ms
229	79.825588ms
230	60.890494ms
231	63.700131ms
232	53.379533ms
233	57.44395ms
234	56.656509ms
235	59.486108ms
236	93.105152ms
237	67.841719ms
238	58.109741ms
239	90.682271ms
240	62.368075ms
241	80.34691ms
242	62.836093ms
243	96.60549ms
244	58.182019ms
245	61.238233ms
246	99.089741ms
247	59.780685ms
248	62.740626ms
249	89.207368ms
250	96.804229ms
251	60.060737ms
252	62.930524ms
253	76.052518ms
254	64.316456ms
255	58.967651ms
256	60.753506ms
257	71.115173ms
258	63.091849ms
259	60.652698ms
260	88.773608ms
261	60.248436ms
262	60.902753ms
263	64.822079ms
264	79.549175ms
265	73.920766ms
266	55.551021ms
267	54.835393ms
268	66.679227ms
269	69.481898ms
270	64.005743ms
271	62.242472ms
272	61.407472ms
273	62.778045ms
274	60.425309ms
275	61.863785ms
276	65.996135ms
277	60.957041ms
278	67.023938ms
279	67.047461ms
280	76.132228ms
281	65.49199ms
282	71.949842ms
283	69.925367ms
284	60.318017ms
285	58.429454ms
286	93.695168ms
287	61.781748ms
288	65.931029ms
289	76.662691ms
290	101.925473ms
291	95.497564ms
292	61.213266ms
293	58.986236ms
294	63.691872ms
295	64.981348ms
296	66.393021ms
297	70.901022ms
298	69.855605ms
299	64.683102ms
300	100.507918ms
301	88.646518ms
